Decade,Year,IssueDate,Song,Artist,Lyrics
1950,1950,January,"""Tú, sólo tú""",Felipe Valdés Leal,"Míra como ando mujer por tu querer
Borracho y apasionado nomás por tu amor
Míra como ando mi bién
Muy dado a la borrachera y a la perdición.
Tú solo tú
Has llenado de luto, mi vida
Abriendo una herida en mi corazón.
Tú solo tú
Eres causa de todo mi llanto
De mi desencanto y deseperación.
Solo tu sombra fatal, sombra del mal
Me sigue por dondequiera con obstinación.
Y por quererte olvidar
Me tiro a la borrachera y a la perdición.
Tú solo tú
Has llenado de luto, mi vida
Abriendo una herida en mi corazón.
Tú solo tú
Eres causa de todo mi llanto
De mi desencanto y deseperación."
1950,1950,February,"""Tú, sólo tú""",Felipe Valdés Leal,"Míra como ando mujer por tu querer
Borracho y apasionado nomás por tu amor
Míra como ando mi bién
Muy dado a la borrachera y a la perdición.
Tú solo tú
Has llenado de luto, mi vida
Abriendo una herida en mi corazón.
Tú solo tú
Eres causa de todo mi llanto
De mi desencanto y deseperación.
Solo tu sombra fatal, sombra del mal
Me sigue por dondequiera con obstinación.
Y por quererte olvidar
Me tiro a la borrachera y a la perdición.
Tú solo tú
Has llenado de luto, mi vida
Abriendo una herida en mi corazón.
Tú solo tú
Eres causa de todo mi llanto
De mi desencanto y deseperación."
1950,1950,March,"""La múcura""",Antonio Fuentes,"La mucura está en el suelo
Ay mama no puedo con ella
Me la llevo a la cabeza
Ay mama no puedo con ella
La mucura está en el suelo
Ay mama no puedo con ella
Me la llevo a la cabeza
Ay mama no puedo con ella
Es que no puedo con ella
Mama no puedo con ella
Es que no puedo con ella
Mama no puedo con ella
Muchacha, si tú no puedes
Con esa mucura de agua
Pa' que te ayude a cargarla
Muchacha, ay, llama a San Pedro
Y es que no puedo con ella
Mamá, no puedo con ella
Mamá, no puedo con ella
Y es que no puedo con ella
Muchacha, quien te rompió
Tu mucurita de barro
Fue Pedro que me ayudó
Ay, pa' qué me hiciste llamarlo
Y es que no puedo con ella
Mamá, no puedo con ella
Mamá, no puedo con ella
Es que no puedo con ella."
1950,1950,April,"""Pobre corazón""",Chucho Monge,"Corazón tu dirás lo que hacemos
Lo que resolvemos 
Nomas quiero que marques el paso
Que no le hagas caso, si las ves llorar 
Que no te oiga que lates tan fuerte
No sea que con suerte 
Vaya a creer que le estamos rogando 
Que andamos buscando volver a empezar 
Ay corazón
Mas vale así
Nomas no te sobresaltes 
Que si me fallas 
Pues ya perdí 
Corazón mas si acaso no puedes 
Si caes en sus redes 
Te aconsejo que tengas paciencia 
Sera tu sentencia sufrir y callar 
Mas como la paciencia se acaba 
Prepara una daga 
Por si acaso el destino te falla 
Te pinta una raya que no has de brincar 
Ay corazón 
Mas vale así 
Nomas no te sobresaltes 
Que si me fallas 
Pues ya perdí."
1950,1950,May,"""Pobre corazón""",Chucho Monge,"Corazón tu dirás lo que hacemos
Lo que resolvemos 
Nomas quiero que marques el paso
Que no le hagas caso, si las ves llorar 
Que no te oiga que lates tan fuerte
No sea que con suerte 
Vaya a creer que le estamos rogando 
Que andamos buscando volver a empezar 
Ay corazón
Mas vale así
Nomas no te sobresaltes 
Que si me fallas 
Pues ya perdí 
Corazón mas si acaso no puedes 
Si caes en sus redes 
Te aconsejo que tengas paciencia 
Sera tu sentencia sufrir y callar 
Mas como la paciencia se acaba 
Prepara una daga 
Por si acaso el destino te falla 
Te pinta una raya que no has de brincar 
Ay corazón 
Mas vale así 
Nomas no te sobresaltes 
Que si me fallas 
Pues ya perdí."
1950,1950,June,"""Qué rico mambo""",Dámaso Pérez Prado,"Huh! 
Huh! 
Aaaaaah! 
Huh!
Mambo, que rico Mambo 
Mambo, que rico es es es!
Mambo, que rico Mambo 
Mambo, que rico es es es! 
Huh! 
Aaaaaah! 
Huh!"
1950,1950,July,"""Viajera""",Luis Arcaraz,"Viajera que vas por cielo y por mar
Dejando en los corazones
Latir de pasión vibrar de canción
Y luego mil decepciones
A mi me toco quererte también
Besarte y después perderte
Dios quiera que al fin te canses de andar
Y entonces quieras quedarte
No se que sera sin verte
No se que vendrá después
No se si podré olvidarte
No se si mé moriré
Mi luna y mi sol irán tras de ti
Unidos por mis canciones
Diciendote ven regresa otra vez
No rompas mas corazones"
1950,1950,August,"""Quinto patio""",Luis Arcaraz,"Por vivir en quinto patio
desprecias mis besos
un cariño verdadero
sin mentiras ni maldad.
El amor cuando es sincero
se encuentra lo mismo
en las torres de un castillo
que en mi humilde vecindad.
Nada me importa
que critiquen la humildad
de mi cariño
el dinero no es la vida
es tan sólo vanidad.
Y aunque ahora no me quieras
yo se que algún día
me darás con tu cariño
toda la felicidad.
Nada me importa
que critiquen la humildad
de mi cariño
el dinero no es la vida
es tan sólo vanidad"
1950,1950,September,"""Quinto patio""",Luis Arcaraz,"Por vivir en quinto patio
desprecias mis besos
un cariño verdadero
sin mentiras ni maldad.
El amor cuando es sincero
se encuentra lo mismo
en las torres de un castillo
que en mi humilde vecindad.
Nada me importa
que critiquen la humildad
de mi cariño
el dinero no es la vida
es tan sólo vanidad.
Y aunque ahora no me quieras
yo se que algún día
me darás con tu cariño
toda la felicidad.
Nada me importa
que critiquen la humildad
de mi cariño
el dinero no es la vida
es tan sólo vanidad"
1950,1950,October,"""Soy feliz""",Juan Bruno Tarraza,"No es aventura ni capricho 
Ni dulce sueño de ilusión 
Si ya por fin unimos 
Dos almas en un solo corazón 
Es que estoy 
Tan enamorada 
Como nunca lo había estado 
En mi corazón hay fiesta 
Soy dichosa, soy feliz 
Tus miradas me parecen 
Dos luceros que se acercan 
Que se acercan y me besan 
Con un beso nada más 
Es que al fin la vida quizo 
Que pudiera yo tener 
Un amor tan verdadero 
Que es mi dicha y mi ilusión 
Pero es que estoy 
Tan enamorada 
Como nunca lo había estado 
En mi corazón hay fiesta 
Soy dichosa, soy feliz."
